customer_id,name,gender,age,city,region,signup_date,total_revenue,total_profit,orders,avg_discount,return_count,last_order,first_order,clv,aov,return_rate,customer_lifetime_days
796,Sanjay Patel,Male,25,Jaipur,North,2021-11-01,26.0,13.89,1,0.0,1,2024-06-24,2024-06-24,13.89,26.0,100.0,0
1469,Manoj Mukherjee,Male,25,Chandigarh,North,2022-11-11,2793.5,831.6799999999998,2,7.0,0,2024-07-02,2024-05-07,831.6799999999998,1396.75,0.0,56
808,Rahul Patel,Male,26,Nagpur,West,2022-04-07,362.05,143.76,1,11.25,0,2024-12-22,2024-12-22,143.76,362.05,0.0,0
1506,Ananya Mehta,Other,34,Mumbai,West,2022-12-26,201411.1,36768.97,165,13.235294117647058,43,2025-02-12,2023-01-07,36768.97,1220.6733333333334,26.06,767
1280,Pooja Pandey,Other,26,Delhi,North,2022-12-21,10487.15,2795.58,4,13.75,2,2024-03-11,2023-09-19,2795.58,2621.7875,50.0,174
84,Myra Yadav,Female,35,Surat,West,,3862.95,1077.25,2,12.5,0,2024-07-15,2023-08-19,1077.25,1931.475,0.0,331
1582,Jiya Nair,Female,18,Chandigarh,North,2022-05-10,17.0,8.59,1,15.0,0,2024-08-16,2024-08-16,8.59,17.0,0.0,0
1327,Diya Iyer,Female,29,Bangalore,South,2021-01-15,210877.85,55653.25,120,10.05859375,43,2024-12-20,2023-02-13,55653.25,1757.3154166666668,35.83,676
897,Arun Shah,Male,21,Nagpur,West,2022-08-05,43.35,21.380000000000003,2,15.0,0,2024-02-07,2023-03-09,21.380000000000003,21.675,0.0,335
1835,Saanvi Yadav,Female,26,Kochi,South,24-01-2022,14122.050000000001,1974.3200000000006,11,15.227272727272727,5,2024-11-27,2023-04-10,1974.3200000000006,1283.8227272727274,45.45,597
1066,Sai Sharma,Male,23,Dehradun,North,2022-01-12,3565.85,162.45,3,17.0,0,2024-08-26,2024-01-08,162.45,1188.6166666666666,0.0,231
1459,Reyansh Patel,Male,35,Lucknow,North,2022-05-16,1872.9,578.92,1,15.0,0,2024-11-16,2024-11-16,578.92,1872.9,0.0,0
998,Diya Rao,Female,36,Jaipur,North,2022-08-13,29534.1,9547.16,16,11.612903225806452,3,2024-11-17,2023-01-08,9547.16,1845.88125,18.75,679
1258,Arjun Nair,Male,18,Surat,West,2021-07-26,782.0,310.62,1,15.0,0,2024-11-10,2024-11-10,310.62,782.0,0.0,0
353,Jiya Reddy,Female,39,Delhi,North,2022-09-12,1160.5,-132.28999999999996,1,45.0,0,2023-07-20,2023-07-20,-132.28999999999996,1160.5,0.0,0
1683,Anita Menon,Female,41,Pune,West,2022-12-21,7844.4,-1288.2299999999996,1,23.333333333333332,1,2023-08-28,2023-08-28,-1288.2299999999996,7844.4,100.0,0
1072,Aditya Singh,Male,27,Mumbai,West,2022-11-30,37.05,19.009999999999998,1,5.0,0,2024-12-20,2024-12-20,19.009999999999998,37.05,0.0,0
1868,Meera Singh,Female,26,Nagpur,West,2022-10-21,8983.6,1993.08,3,14.285714285714286,3,2024-09-04,2023-12-19,1993.08,2994.5333333333333,100.0,260
839,Vikram Mukherjee,Male,44,Delhi,North,15-08-2022,38835.6,11057.33,28,9.761904761904763,8,2024-12-08,2023-01-04,11057.33,1386.9857142857143,28.57,704
1124,Pooja Iyer,Female,34,Dehradun,North,2022-08-31,2593.75,579.69,3,13.333333333333334,1,2024-04-06,2023-07-11,579.69,864.5833333333334,33.33,270
702,Jiya Iyer,Female,38,Bhubaneswar,East,2022-02-25,7569.35,2253.15,2,14.166666666666666,1,2024-10-09,2023-03-03,2253.15,3784.675,50.0,586
343,Lakshmi Menon,Female,26,Kolkata,East,2022-10-07,2333.5,773.47,4,7.142857142857143,0,2024-11-09,2023-02-24,773.47,583.375,0.0,624
1673,Sanjay Reddy,Male,36,Chennai,South,2022-11-02,12598.15,3485.6799999999994,11,9.166666666666666,2,2024-11-10,2023-04-07,3485.6799999999994,1145.2863636363636,18.18,583
803,Krishna Sen,Male,55,Jaipur,North,2022-03-20,2189.1,-306.0100000000002,3,13.75,0,2024-03-13,2023-09-02,-306.0100000000002,729.6999999999999,0.0,193
