order_id,product_id,quantity,selling_price,discount,customer_id,order_date,shipping_date,region,payment_mode,cost_price,category,sub_category,brand,name,gender,age,city,revenue,profit,discount_impact,is_return
1,173,2,59.0,0,1117,2023-12-29,2024-01-01,North,UPI,28.44,Sports & Outdoors,Team Sports,ActiveGear,Deepak Singh,Male,18,Ranchi,118.0,61.12,0.0,False
2,131,3,162.0,0,1060,2024-12-02,2024-12-07,North,Debit Card,101.94,Home & Kitchen,Bedding,HomeEase,Vivaan Sen,Male,18,Bangalore,486.0,180.18,0.0,False
3,130,1,100.8,10,291,2025-02-03,2025-02-04,North,COD,46.7,Clothing,Footwear,ClassicWear,Kavita Shah,Female,32,Nagpur,100.8,54.099999999999994,10.08,False
3,417,1,1992.0,40,291,2025-02-03,2025-02-04,North,COD,2318.7,Electronics,Smartwatches,ZoomTech,Kavita Shah,Female,32,Nagpur,1992.0,-326.6999999999998,796.8,True
4,78,1,382.85,5,1773,2023-02-27,2023-03-04,East,Debit Card,216.86,Sports & Outdoors,Camping,ActiveGear,Aadhya Rao,Female,22,Ahmedabad,382.85,165.99,19.1425,False
4,312,1,70.0,0,1773,2023-02-27,2023-03-04,East,Debit Card,32.2,Sports & Outdoors,Yoga,TrailBlazer,Aadhya Rao,Female,22,Ahmedabad,70.0,37.8,0.0,False
5,115,3,443.7,15,675,2024-05-03,2024-05-08,West,UPI,279.17,Home & Kitchen,Bedding,DreamHome,Geeta Das,Female,32,Bhubaneswar,1331.1,493.5899999999999,199.665,False
5,365,1,102.9,30,675,2024-05-03,2024-05-08,West,UPI,62.57,Clothing,Women's Wear,UrbanFit,Geeta Das,Female,32,Bhubaneswar,102.9,40.330000000000005,30.87,True
5,283,2,573.6,20,675,2024-05-03,2024-05-08,West,UPI,360.69,Home & Kitchen,Storage,KitchenKing,Geeta Das,Female,32,Bhubaneswar,1147.2,425.82000000000005,229.44,False
6,76,2,1932.45,35,362,2023-04-05,2023-04-13,West,UPI,1869.13,Electronics,Smartwatches,TechPro,Amit Desai,Male,42,Patna,3864.9,126.63999999999987,1352.715,True
6,99,1,128.0,20,362,2023-04-05,2023-04-13,West,UPI,76.66,Clothing,Footwear,ClassicWear,Amit Desai,Male,42,Patna,128.0,51.34,25.6,False
6,62,1,343.4,15,362,2023-04-05,2023-04-13,West,UPI,209.07,Home & Kitchen,Decor,HomeEase,Amit Desai,Male,42,Patna,343.4,134.32999999999998,51.51,False
7,180,1,384.75,5,1044,2024-11-10,2024-11-24,West,Debit Card,192.39,Sports & Outdoors,Team Sports,TrailBlazer,Deepak Reddy,Male,45,Jaipur,384.75,192.36,19.2375,False
8,128,2,209.0,0,67,2024-08-22,2024-09-12,East,Wallet,83.72,Clothing,Accessories,StyleCraft,Reyansh Menon,Male,30,Guwahati,418.0,250.56,0.0,False
8,7,2,1804.0,0,67,2024-08-22,2024-09-12,East,Wallet,1027.55,Electronics,Smartwatches,SkyNet,Reyansh Menon,Male,30,Guwahati,3608.0,1552.9,0.0,False
8,14,1,72.2,5,67,2024-08-22,2024-09-12,East,Wallet,34.39,Books,Educational,KnowledgeFirst,Reyansh Menon,Male,30,Guwahati,72.2,37.81,3.61,False
8,36,1,164.0,0,67,2024-08-22,2024-09-12,East,Wallet,65.81,Clothing,Kids' Wear,UrbanFit,Reyansh Menon,Male,30,Guwahati,164.0,98.19,0.0,False
9,339,1,1922.7,15,1635,2023-02-11,2023-02-13,North,UPI,1441.22,Electronics,Smartwatches,SkyNet,Neha Reddy,Female,26,Nagpur,1922.7,481.48,288.405,False
10,328,1,93.0,0,1372,2024-06-15,2024-06-18,South,Debit Card,45.94,Clothing,Women's Wear,TrendSetter,Vivaan Menon,Male,57,Nagpur,93.0,47.06,0.0,False
11,71,1,51.85,15,1372,2023-07-09,2023-07-10,South,UPI,29.35,Clothing,Accessories,UrbanFit,Vivaan Menon,Male,57,Nagpur,51.85,22.5,7.7775,False
12,305,3,312.8,20,675,2023-09-14,2023-09-16,West,Net Banking,230.1,Sports & Outdoors,Camping,ActiveGear,Geeta Das,Female,32,Bhubaneswar,938.4000000000001,248.10000000000014,187.68,True
13,146,2,48.0,0,607,2024-12-23,2024-12-24,South,UPI,17.99,Books,Comics,WordCraft,Saanvi Desai,Female,25,Nagpur,96.0,60.02,0.0,False
14,370,1,78.0,0,1628,2023-10-26,2023-10-28,West,Net Banking,30.16,Books,Magazines,WordCraft,Lakshmi Sharma,Female,33,Pune,78.0,47.84,0.0,False
14,121,3,407.2,20,1628,2023-10-26,2023-10-28,West,Net Banking,287.15,Home & Kitchen,Storage,KitchenKing,Lakshmi Sharma,Female,33,Pune,1221.6,360.15,244.32,False
14,16,1,81.9,10,1628,2023-10-26,2023-10-28,West,Net Banking,47.31,Clothing,Women's Wear,UrbanFit,Lakshmi Sharma,Female,33,Pune,81.9,34.59,8.19,False
14,252,3,564.0,25,1628,2023-10-26,2023-10-28,West,Net Banking,410.2,Home & Kitchen,Bedding,HomeEase,Lakshmi Sharma,Female,33,Pune,1692.0,461.4000000000001,423.0,False
14,150,2,450.75,25,1628,2023-10-26,2023-10-28,West,Net Banking,343.94,Home & Kitchen,Bedding,LivingSpace,Lakshmi Sharma,Female,33,Pune,901.5,213.62,225.375,False
15,366,1,185.3,15,1372,2023-11-25,2023-11-27,South,Credit Card,103.85,Clothing,Footwear,StyleCraft,Vivaan Menon,Male,57,Nagpur,185.3,81.45000000000002,27.795,False
15,415,2,253.0,0,1372,2023-11-25,2023-11-27,South,Credit Card,146.48,Home & Kitchen,Bedding,HomeEase,Vivaan Menon,Male,57,Nagpur,506.0,213.04000000000002,0.0,False
15,314,3,84.6,10,1372,2023-11-25,2023-11-27,South,Credit Card,65.8,Clothing,Footwear,FashionHub,Vivaan Menon,Male,57,Nagpur,253.79999999999998,56.400000000000006,25.38,False
15,331,2,26.0,0,1372,2023-11-25,2023-11-27,South,Credit Card,10.13,Books,Educational,WordCraft,Vivaan Menon,Male,57,Nagpur,52.0,31.74,0.0,False
16,27,1,541.8,10,1327,2024-04-29,2024-05-03,South,UPI,353.71,Electronics,Laptops,NovaTech,Diya Iyer,Female,29,Bangalore,541.8,188.08999999999997,54.18,False
17,70,2,421.6,20,1261,2023-01-28,2023-01-30,West,Net Banking,295.62,Home & Kitchen,Cookware,HomeEase,Pooja Kumar,Female,18,Mumbai,843.2,251.96000000000004,168.64,False
18,178,3,1775.25,25,471,2024-06-28,2024-06-29,West,COD,1521.67,Electronics,Laptops,TechPro,Sanjay Pandey,Male,34,Patna,5325.75,760.7399999999998,1331.4375,False
19,26,1,207.0,0,1372,2024-05-30,2024-06-01,South,Net Banking,83.08,Clothing,Accessories,FashionHub,Vivaan Menon,Male,57,Nagpur,207.0,123.92,0.0,False
19,123,1,214.7,5,1372,2024-05-30,2024-06-01,South,Net Banking,93.44,Clothing,Accessories,StyleCraft,Vivaan Menon,Male,57,Nagpur,214.7,121.25999999999999,10.735,False
20,51,1,407.15,15,9,2023-03-29,2023-04-01,West,Net Banking,245.72,Home & Kitchen,Storage,HomeEase,Lakshmi Yadav,Female,37,Ahmedabad,407.15,161.42999999999998,61.0725,False
20,486,1,78.2,15,9,2023-03-29,2023-04-01,West,Net Banking,54.34,Home & Kitchen,Furniture,DreamHome,Lakshmi Yadav,Female,37,Ahmedabad,78.2,23.86,11.73,False
20,120,1,274.0,0,9,2023-03-29,2023-04-01,West,Net Banking,112.7,Clothing,Kids' Wear,StyleCraft,Lakshmi Yadav,Female,37,Ahmedabad,274.0,161.3,0.0,False
21,399,2,184.5,10,1055,2024-06-17,2024-06-18,West,Credit Card,121.13,Home & Kitchen,Storage,HomeEase,Deepak Desai,Male,37,Ahmedabad,369.0,126.74000000000001,36.9,False
21,277,1,51.3,10,1055,2024-06-17,2024-06-18,West,Credit Card,29.95,Clothing,Kids' Wear,TrendSetter,Deepak Desai,Male,37,Ahmedabad,51.3,21.349999999999998,5.13,True
22,124,1,376.2,10,608,2024-10-15,2024-11-11,South,Debit Card,238.72,Sports & Outdoors,Camping,TrailBlazer,Meera Choudhury,Female,38,Kolkata,376.2,137.48,37.62,False
